"variable";"res";"p.value"
"sexfemale";"0.75 (0.59 - 0.96)";0,023
"age_cat31-45";"0.86 (0.49 - 1.50)";0,585
"age_cat46-60";"0.74 (0.43 - 1.26)";0,267
"age_cat61-75";"0.82 (0.48 - 1.42)";0,484
"age_cat75+";"0.46 (0.24 - 0.88)";0,019
"completenesscomplete";"1.54 (1.21 - 1.97)";0,001
"etiologynontraumatic";"0.66 (0.50 - 0.89)";0,005
"languageFrench";"1.10 (0.86 - 1.41)";0,434
"languageItalian";"0.45 (0.26 - 0.77)";0,003
"short_transp_barrmade my life a bit more difficult";"1.47 (1.14 - 1.90)";0,003
"short_transp_barrmade my life a lot more difficult";"1.00 (0.66 - 1.50)";0,989
"problem_injury1";"0.47 (0.22 - 1.03)";0,06
"problem_sexual1";"1.65 (1.31 - 2.08)";0
"problem_ossification1";"0.32 (0.14 - 0.73)";0,007
