"variable";"OR";"p.value"
"etiologynontraumatic";"0.69 (0.51 – 0.91)";"0.010"
"languageFrench";"1.10 (0.86 – 1.41)";"0.440"
"languageItalian";"0.45 (0.27 – 0.77)";"0.004"
"problem_ossification1";"0.33 (0.15 – 0.72)";"0.005"
"problem_sexual1";"1.63 (1.29 – 2.06)";"0.000"
"severityincomplete tetra";"1.15 (0.86 – 1.53)";"0.346"
"severitycomplete para";"1.80 (1.36 – 2.39)";"0.000"
"severitycomplete tetra";"1.32 (0.88 – 1.99)";"0.180"
"sexfemale";"0.74 (0.58 – 0.95)";"0.017"
"age_cat31-45";"0.87 (0.50 – 1.52)";"0.633"
"age_cat46-60";"0.73 (0.43 – 1.25)";"0.249"
"age_cat61-75";"0.80 (0.47 – 1.38)";"0.427"
"age_cat75+";"0.44 (0.23 – 0.84)";"0.012"
