"variable";"category";"n_perc_2012";"n_perc_2017"
"n_tot";"";"1549 (100)";"1530 (100)"
"sex";"female";"442 (29)";"439 (29)"
"";"male";"1107 (71)";"1091 (71)"
"financial_hardship";"had no influence";"1031 (67)";"1092 (71)"
"";"made my life a bit more difficult";"320 (21)";"252 (16)"
"";"made my life a lot more difficult";"128 (8)";"121 (8)"
"";"missing";"70 (5)";"65 (4)"
"short_transp_barr";"had no influence";"933 (60)";"941 (62)"
"";"made my life a bit more difficult";"420 (27)";"395 (26)"
"";"made my life a lot more difficult";"120 (8)";"117 (8)"
"";"missing";"76 (5)";"77 (5)"
"long_transp_barr";"had no influence";"934 (60)";"947 (62)"
"";"made my life a bit more difficult";"392 (25)";"377 (25)"
"";"made my life a lot more difficult";"148 (10)";"141 (9)"
"";"missing";"75 (5)";"65 (4)"
"amb_status";"walking_freely";"272 (18)";"381 (25)"
"";"walking_independently";"184 (12)";"210 (14)"
"";"manual_wheekchair";"582 (38)";"487 (32)"
"";"electric_wheelchair";"448 (29)";"390 (25)"
"";"missing";"63 (4)";"62 (4)"
"scim_20";"walk without walking aids";"236 (15)";"341 (22)"
"";"walk with a leg orthosis(es) only (e.g., leg splint)";"36 (2)";"40 (3)"
"";"walk with one cane";"58 (4)";"82 (5)"
"";"walk with crutches or two canes, setting one foot before the other";"118 (8)";"117 (8)"
"";"walk with a walking frame or crutches, swinging forward with both feet at a time";"8 (1)";"11 (1)"
"";"need supervision while walking (with or without walking aids)";"19 (1)";"26 (2)"
"";"I am independent in a manual wheelchair";"563 (36)";"461 (30)"
"";"I need an electric wheelchair or partial assistance to operate a manual wheelchair";"349 (23)";"309 (20)"
"";"I need total assistance";"99 (6)";"81 (5)"
"";"missing";"63 (4)";"62 (4)"
"lesion_level";"paraplegia";"1066 (69)";"1040 (69)"
"";"tetraplegia";"475 (31)";"458 (31)"
"completeness";"incomplete";"894 (58)";"865 (57)"
"";"complete";"646 (42)";"486 (32)"
"";"missing";"9 (1)";"179 (12)"
"etiology";"traumatic";"1204 (78)";"1200 (79)"
"";"nontraumatic";"333 (22)";"316 (21)"
