"variable";"category";"n_perc_2012";"n_perc_2017"
"n_tot";"";"492 (100)";"239 (100)"
"sex";"female";"142 (29)";"62 (26)"
"";"male";"350 (71)";"177 (74)"
"financial_hardship";"had no influence";"356 (72)";"182 (76)"
"";"made my life a bit more difficult";"83 (17)";"38 (16)"
"";"made my life a lot more difficult";"37 (8)";"12 (5)"
"";"missing";"16 (3)";"7 (3)"
"short_transp_barr";"had no influence";"299 (61)";"142 (59)"
"";"made my life a bit more difficult";"130 (26)";"69 (29)"
"";"made my life a lot more difficult";"43 (9)";"16 (7)"
"";"missing";"20 (4)";"12 (5)"
"long_transp_barr";"had no influence";"304 (62)";"140 (59)"
"";"made my life a bit more difficult";"122 (25)";"67 (28)"
"";"made my life a lot more difficult";"49 (10)";"25 (10)"
"";"missing";"17 (3)";"7 (3)"
"amb_status";"walking_freely";"92 (19)";"43 (18)"
"";"walking_independently";"72 (15)";"29 (12)"
"";"manual_wheekchair";"175 (36)";"88 (37)"
"";"electric_wheelchair";"133 (27)";"70 (29)"
"";"missing";"20 (4)";"9 (4)"
"scim_20";"walk without walking aids";"79 (16)";"34 (14)"
"";"walk with a leg orthosis(es) only (e.g., leg splint)";"13 (3)";"9 (4)"
"";"walk with one cane";"24 (5)";"10 (4)"
"";"walk with crutches or two canes, setting one foot before the other";"46 (9)";"18 (8)"
"";"walk with a walking frame or crutches, swinging forward with both feet at a time";"2 (0)";"1 (0)"
"";"need supervision while walking (with or without walking aids)";"9 (2)";"4 (2)"
"";"I am independent in a manual wheelchair";"166 (34)";"84 (35)"
"";"I need an electric wheelchair or partial assistance to operate a manual wheelchair";"97 (20)";"57 (24)"
"";"I need total assistance";"36 (7)";"13 (5)"
"";"missing";"20 (4)";"9 (4)"
"lesion_level";"paraplegia";"338 (69)";"168 (70)"
"";"tetraplegia";"150 (31)";"71 (30)"
"completeness";"incomplete";"297 (60)";"139 (58)"
"";"complete";"192 (39)";"100 (42)"
"";"missing";"3 (1)";NA
"etiology";"traumatic";"373 (77)";"199 (83)"
"";"nontraumatic";"114 (23)";"40 (17)"
