"variable";"n_rel_freq_2012";"n_rel_freq_2017"
"n_tot";"492 (100)";"1530 (100)"
"hc_practitioner";"428 (87)";"1065 (70)"
"hc_ambulant";"257 (52)";"713 (47)"
"hc_ambulant_planned";"191 (39)";"466 (30)"
"hc_ambulant_unplanned";"94 (19)";"241 (16)"
"hc_inpatient";"170 (35)";"403 (26)"
"hc_paraplegic";"219 (45)";"534 (35)"
"hc_paracenter";"";"738 (48)"
"hc_paracenter_Balgrist_ambulant";"";"36 (2)"
"hc_paracenter_Balgrist_check";"";"89 (6)"
"hc_paracenter_Balgrist_inpat";"";"14 (1)"
"hc_paracenter_RehaB_ambulant";"";"23 (2)"
"hc_paracenter_RehaB_check";"";"59 (4)"
"hc_paracenter_RehaB_inpat";"";"18 (1)"
"hc_paracenter_CRR_ambulant";"";"14 (1)"
"hc_paracenter_CRR_check";"";"43 (3)"
"hc_paracenter_CRR_inpat";"";"15 (1)"
"hc_paracenter_SPZ_ambulant";"";"162 (11)"
"hc_paracenter_SPZ_check";"";"432 (28)"
"hc_paracenter_SPZ_inpat";"";"130 (8)"
"hc_paracenter_Plein_Soleil_ambulant";"";"6 (0)"
"hc_paracenter_Plein_Soleil_check";"";"62 (4)"
"hc_paracenter_Plein_Soleil_inpat";"";"1 (0)"
"hc_paracenter_Bellinzona_ambulant";"";"1 (0)"
"hc_paracenter_Bellinzona_check";"";"9 (1)"
"hc_paracenter_Bellinzona_inpat";"";"0 (0)"
